"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"message"
"1";"174";"1";"210175192404846_3031597426929261";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T04:06:56+0000";"video";"436";"847";"434";"410";"22";"0";"0";"0";"2";"""ӨСӨЛТИЙН ТУХАЙ ЯРЪЯ"" ПОДКАСТ: ХУУЛЬЧ Н.АРИУНБОЛД"
"1";"175";"1";"210175192404846_191960862112596";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-14T04:05:26+0000";"video";"462";"1123";"607";"552";"51";"1";"1";"0";"2";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"176";"1";"210175192404846_3029961230426214";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T13:31:03+0000";"photo";"89";"185";"534";"510";"19";"3";"0";"0";"2";"ЗӨВ БҮХНИЙГ ҮРГЭЛЖЛҮҮЛНЭ_БУРУУ БҮХНИЙГ ЗАСНА 🇲🇳🇲🇳🇲🇳"
"1";"177";"1";"210175192404846_3029911670431170";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T13:05:47+0000";"photo";"678";"1016";"986";"933";"46";"2";"0";"0";"5";"ӨСӨЛТИЙГ ДЭМЖСЭН_ХӨГЖЛИЙН БАГ 🇲🇳🇲🇳🇲🇳  ИРГЭД_СОНГОГЧДЫН УУЛЗАЛТ 👏👏👏"
"1";"178";"1";"210175192404846_3029797090442628";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T12:05:18+0000";"video";"910";"943";"597";"562";"28";"1";"0";"1";"5";"""ӨСӨЛТИЙН ТУХАЙ ЯРЪЯ"" ПОДКАСТ: АРДЧИЛСАН НАМЫН МӨРИЙН ХӨТӨЛБӨР БОЛОВСРУУЛАХ АЖЛЫН ХЭСГИЙН ГИШҮҮН Ц.УРТНАСАН"
"1";"179";"1";"210175192404846_3029705547118449";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T11:14:37+0000";"photo";"903";"929";"641";"627";"8";"0";"4";"0";"2";""
"1";"180";"1";"210175192404846_259530531813217";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T10:43:35+0000";"video";"674";"978";"596";"543";"47";"0";"1";"0";"5";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"181";"1";"210175192404846_3029478203807850";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T09:06:03+0000";"video";"1014";"1261";"907";"829";"42";"8";"1";"1";"26";"АН-ын дарга, УИХ-ын гишүүн С.Эрдэнэ: АН Олонхи болсон тохиолдолд МАН-ын нэмсэн есөн төрлийн татвар түүнийг дагаж гарсан журмуудыг хүчингүй болгохоос гадна Тэтгэвэрийн доод хэмжээг 500 мянган төгрөгт хүргэнэ.  Мөн нэн түрүүнд Хамтын тэтгэвэрийн тухай хуулийг сэргээнэ."
"1";"182";"1";"210175192404846_3029437567145247";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T08:42:26+0000";"photo";"358";"622";"817";"775";"37";"1";"1";"0";"3";"ӨСӨЛТИЙГ ДЭМЖСЭН_ХӨГЖЛИЙН БАГ 🇲🇳🇲🇳🇲🇳  ИРГЭД_СОНГОГЧДЫН УУЛЗАЛТ 👏👏👏"
"1";"183";"1";"210175192404846_462205664640455";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-13T07:00:08+0000";"video";"708";"976";"629";"586";"38";"1";"1";"0";"3";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
