"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"120920014698353/120920014698353_1777529205704084/120920014698353_1777529205704084";"196";"4";"2";"120920014698353_1777529205704084";"headers";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777741359016202";"197";"4";"2";"1777529205704084_1777741359016202";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Бид нар гэр бүлээрээ ман дэмжсэн дахин сонгууль болсон ч дэмжинэ дахин сонгууль болвол ман 100 хувь ялна"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777636399026698";"198";"4";"2";"1777529205704084_1777636399026698";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Ард нь байгаа хүмүүсийг мэдэж байгаа бол тэр хүмүүсийг нэрлээч хариуцлага тооцооч хий мэдэгдэл гаргаад яах вэ дээ"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777681015688903";"199";"4";"2";"1777529205704084_1777681015688903";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Энд дэмжээд бгаа даашинзууд монгол хүн лав биш байхаа Нэн удахгүй газраа хятадад тасалж зархад та нар дагаад зарагдана.. хятадад очиж амьдарсантай ялгаагүй болно."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777662165690788";"200";"4";"2";"1777529205704084_1777662165690788";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Их хурлын бүрэн эрхийн хугацаа дууссан.шинэ их хурал хэзээ гэдэг нь тодорхойгүй."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1778681898922148";"201";"4";"2";"1777529205704084_1778681898922148";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Ард түмний сонголт даанч биш л дээ 20%-30% нь л сонгосон, нийтээрээ дэмжсэн гэж андуурах хэрэггүй, цөөнхийн сонголтоор гарч чаддаг башир аргатай хулгайч нар юм бн"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777675229022815";"202";"4";"2";"1777529205704084_1777675229022815";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Ман намыгаа дэмжсэн байдийнмаа 😊 энэ бүх сөрөг зүйлсийг алгасаад ажилаа эхлүүлээрэй 🙏🙏🙏амжилт хүсье 👏👏👏"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1779202218870116";"203";"4";"2";"1777529205704084_1779202218870116";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Ардын нэр барьсан Луйварчид аа. Та нарын нүгэл удахгүй нүдээрээ гарах байлгүй дээ. Луйврын засаглал нь удахгүй нуран унах цаг нь ойрхон байг эээ. "
"120920014698353/120920014698353_1777529205704084/1777529205704084_1778780978912240";"204";"4";"2";"1777529205704084_1778780978912240";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Амлалтаа бүрэн биелүүлж ард түмний итгэлийг алдалгүй сайн ажиллаарай. Хууль бус шударга бус олон гишүүдээсээ салж хамгийн гол нь ард түмний аж амьдралыг дээшлүүлэхэд их анхаарч ажиллаасай. Ард түмний амьдрал маш хүнд бгаа шүү. Сүүлийн 4 жил дээрдсэн юм байхгүй"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777747302348941";"205";"4";"2";"1777529205704084_1777747302348941";"data";"fetched (200)";"2020-07-13 15:48:32.941919";"Facebook:/<post-id>/comments";"";"Одоо шийдтэй алхам хийх хэрэгтэй, хэнхэг нь хэтэрсэн хэн дуртай өвөө нарыг эрхлүүлдэг газар биш  улс орны асуудал үнэхээр хэцүүдлээ, бид зүгээр тайван амьдрал хүсэж байна"
